"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2003","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2004","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2005","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2006","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2007","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2008","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2009","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2010","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2011","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2012","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2013","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2014","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2015","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2016","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2017","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2018","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
"1","2019","Stratum_1"," [count*km2/km2]",25387.3441796252,1459.82646012123,0.0663076902013375
